spot,slug,date,wave_height_m,wave_direction_deg,wave_period_s,swell_height_m,swell_direction_deg,swell_period_s,wind_speed_kmh,wind_direction_deg,wind_gusts_kmh,observation_label,notes
Martinique Beach,martinique-beach,2024-10-09,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-10-19,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-10-29,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-11-03,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-11-10,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-12-13,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-12-13,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-12-15,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-12-23,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-01-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-02-11,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-03-03,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-03-13,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-03-15,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-03-15,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-04-02,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-04-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-05-14,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-05-14,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-05-27,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-06-11,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-06-16,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-06-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-07-01,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-07-16,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-07-23,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-07-26,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-07-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-07-30,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-08-02,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-08-02,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-08-07,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-08-12,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-08-15,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-08-17,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-08-19,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-09-01,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-09-04,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-09-14,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-09-16,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-09-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-09-29,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-10-01,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-10-04,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-10-06,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-10-11,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-10-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-10-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-11-03,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-11-05,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-11-23,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-12-05,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-12-18,,,,,,,,,,,
Martinique Beach,martinique-beach,2025-12-23,,,,,,,,,,,
Martinique Beach,martinique-beach,2026-01-29,,,,,,,,,,,
Martinique Beach,martinique-beach,2026-02-13,,,,,,,,,,,
Martinique Beach,martinique-beach,2026-02-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2026-03-03,,,,,,,,,,,
Martinique Beach,martinique-beach,2026-03-10,,,,,,,,,,,
Martinique Beach,martinique-beach,2026-03-10,,,,,,,,,,,
Martinique Beach,martinique-beach,2026-03-18,,,,,,,,,,,
Martinique Beach,martinique-beach,2026-03-20,1.02,136,7.45,0.9,136,5.65,7.0,111,9.0,,
